GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HAL Comparison,io.wcm.caravan.hal.comparison.impl.links,LinkProcessingImpl,0,131,1,7,0,23,1,6,0,3
HAL Comparison,io.wcm.caravan.hal.comparison.impl.embedded.steps,EmbeddedRelationBlackList,0,19,0,2,0,8,0,3,0,2
HAL Comparison,io.wcm.caravan.hal.comparison.impl.embedded.steps,EmbeddedAdditionRemovalReorderingDetection.DefaultIdProvider,0,9,0,0,0,2,0,2,0,2
HAL Comparison,io.wcm.caravan.hal.comparison.impl.embedded.steps,EmbeddedAdditionRemovalReorderingDetection,0,156,0,8,0,34,0,10,0,6
HAL Comparison,io.wcm.caravan.hal.comparison.impl.context,HalComparisonContextImpl,0,322,0,8,0,63,0,26,0,22
HAL Comparison,io.wcm.caravan.hal.comparison.impl.context,HalPathImpl,0,193,0,4,0,40,0,15,0,13
HAL Comparison,io.wcm.caravan.hal.comparison.impl.context,HalPathImpl.Token,0,43,0,4,0,12,0,5,0,3
HAL Comparison,io.wcm.caravan.hal.comparison.impl.links.steps,LinkRelationBlackList,0,19,0,2,0,8,0,3,0,2
HAL Comparison,io.wcm.caravan.hal.comparison.impl.links.steps,LinkAdditionRemovalReorderingDetection,0,138,0,10,0,33,0,10,0,5
HAL Comparison,io.wcm.caravan.hal.comparison.impl.links.steps,LinkTemplateProcessor,0,222,0,24,0,59,0,19,0,7
HAL Comparison,io.wcm.caravan.hal.comparison.impl.links.steps,LinkAdditionRemovalReorderingDetection.DefaultIdProvider,0,35,0,8,0,8,0,8,0,4
HAL Comparison,io.wcm.caravan.hal.comparison.impl.matching,SimpleIdMatchingAlgorithm,0,60,0,6,0,18,0,5,0,2
HAL Comparison,io.wcm.caravan.hal.comparison.impl.matching,SimpleIdMatchingAlgorithm.IndexedItemList,4,79,0,4,1,16,1,7,1,5
HAL Comparison,io.wcm.caravan.hal.comparison.impl.matching,SimpleIdMatchingAlgorithm.ItemWithIdAndIndex,6,52,0,2,1,14,1,6,1,5
HAL Comparison,io.wcm.caravan.hal.comparison.impl.matching,SimpleIdMatchingAlgorithm.MatchingResultImpl,0,100,0,4,0,27,0,12,0,10
HAL Comparison,io.wcm.caravan.hal.comparison.impl.embedded,EmbeddedProcessingImpl,0,128,1,7,0,23,1,6,0,3
HAL Comparison,io.wcm.caravan.hal.comparison.impl.util,HalJsonConversion,0,50,0,4,0,14,0,6,0,4
HAL Comparison,io.wcm.caravan.hal.comparison.impl,HalComparisonException,0,20,0,0,0,6,0,3,0,3
HAL Comparison,io.wcm.caravan.hal.comparison.impl,ProcessingResult,0,19,0,0,0,6,0,3,0,3
HAL Comparison,io.wcm.caravan.hal.comparison.impl,HalComparisonRecursionImpl,0,231,0,2,0,46,0,16,0,15
HAL Comparison,io.wcm.caravan.hal.comparison.impl,PairWithRelation,0,21,0,0,0,8,0,4,0,4
HAL Comparison,io.wcm.caravan.hal.comparison.impl,HalComparisonImpl,0,84,0,0,0,15,0,7,0,7
HAL Comparison,io.wcm.caravan.hal.comparison,HalDifference.EntityType,0,21,0,0,0,2,0,1,0,1
HAL Comparison,io.wcm.caravan.hal.comparison,HalDifference.ChangeType,0,27,0,0,0,2,0,1,0,1
HAL Comparison,io.wcm.caravan.hal.comparison,HalComparisonStrategy,0,8,0,0,0,4,0,4,0,4
HAL Comparison,io.wcm.caravan.hal.comparison.impl.properties,PropertyDiffDetector,0,412,1,39,0,95,1,28,0,9
HAL Comparison,io.wcm.caravan.hal.comparison.impl.difference,HalDifferenceImpl,0,49,0,0,0,15,0,8,0,8
HAL Comparison,io.wcm.caravan.hal.comparison.impl.difference,HalDifferenceListBuilder,0,225,0,0,0,51,0,21,0,21
