GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.reader,ServiceModelReader,45,0,2,0,10,0,3,0,2,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.reader,ServiceJson,0,39,0,0,0,12,0,3,0,3
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl,HttpContextWrapper,49,0,4,0,16,0,7,0,5,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl,TemplateRenderer.BundleTemplateLoader,31,0,2,0,7,0,3,0,2,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl,TemplateRenderer,86,0,0,0,23,0,5,0,5,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl,HalDocsBundleTracker,119,0,12,0,28,0,17,0,11,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl,DocsPath,32,0,6,0,8,0,6,0,3,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl,HalDocsServlet,141,0,8,0,35,0,16,0,12,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl,JsonSchemaBundleTracker,124,0,10,0,29,0,16,0,11,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.model,ResourceRef,9,15,0,0,3,7,3,4,3,4
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.model,LinkRelationRef,19,21,2,0,5,7,4,5,3,5
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.model,LinkRelation,18,87,1,1,6,27,6,11,5,11
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.model,Service,50,39,6,0,14,14,6,9,3,9
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.augmenter,HalDocsAugmenterImpl,0,30,0,0,0,8,0,2,0,2
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.augmenter,LinkRelationTitleAugmenter,0,35,0,2,0,9,0,5,0,4
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.augmenter,CurieUtil,0,23,0,2,0,4,0,3,0,2
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.augmenter,DocsMetadata,0,85,0,4,0,19,0,9,0,7
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.augmenter,CurieAugmenter,0,129,1,9,0,29,1,15,0,11
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.augmenter,HalDocsAugmenterFactoryImpl.new HalDocsAugmenter() {...},4,0,0,0,2,0,2,0,2,0
HAL Interface Documentation,io.wcm.caravan.hal.docs.impl.augmenter,HalDocsAugmenterFactoryImpl,28,0,6,0,9,0,6,0,3,0
