GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JSON Transformation,io.wcm.caravan.io.jsontransform.sink,JacksonStreamSink,18,111,4,17,5,31,4,15,0,7
JSON Transformation,io.wcm.caravan.io.jsontransform.sink,JacksonJsonNodeSink,55,199,14,26,8,45,13,22,1,12
JSON Transformation,io.wcm.caravan.io.jsontransform.element,JsonPath,20,88,4,8,4,19,8,8,4,6
JSON Transformation,io.wcm.caravan.io.jsontransform.element,JsonPathCreator,6,52,0,4,1,12,1,4,1,2
JSON Transformation,io.wcm.caravan.io.jsontransform.element,JsonElementType,0,33,0,0,0,6,0,1,0,1
JSON Transformation,io.wcm.caravan.io.jsontransform.element,JsonElement,14,111,2,6,3,19,5,14,3,12
JSON Transformation,io.wcm.caravan.io.jsontransform.source,JacksonStreamSource,16,132,2,22,6,38,3,18,1,8
JSON Transformation,io.wcm.caravan.io.jsontransform.source,XmlSource,72,281,15,37,15,79,15,31,2,18
JSON Transformation,io.wcm.caravan.io.jsontransform.processor,AbstractPathProcessor,86,30,12,2,24,8,11,3,5,2
JSON Transformation,io.wcm.caravan.io.jsontransform.processor,ArrayProcessor,0,84,0,16,0,10,0,13,0,5
JSON Transformation,io.wcm.caravan.io.jsontransform.processor,RenameProcessor,4,44,1,3,2,10,2,4,1,3
JSON Transformation,io.wcm.caravan.io.jsontransform.processor,AbstractBufferingProcessor,17,44,6,6,4,9,6,4,1,3
JSON Transformation,io.wcm.caravan.io.jsontransform.processor,NumericFieldsProcessor,4,43,2,4,2,9,3,4,1,3
