GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheStrategies,29,65,1,3,6,13,3,6,2,5
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CachePersistencyOptions,35,59,2,4,9,14,5,11,4,9
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheStrategies.new CacheStrategy() {...},0,15,0,0,0,2,0,2,0,2
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheStrategies.new CacheStrategy() {...},0,15,0,0,0,2,0,2,0,2
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheStrategies.new CacheStrategy() {...},0,6,0,0,0,2,0,2,0,2
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheDateUtils,68,0,0,0,13,0,7,0,7,0
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheStrategies.new CacheStrategy() {...},19,0,0,0,2,0,2,0,2,0
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheStrategies.new CacheStrategy() {...},10,0,0,0,2,0,2,0,2,0
JSON Pipeline API,io.wcm.caravan.pipeline.cache,CacheControlUtils,0,108,0,4,0,21,0,13,0,11
JSON Pipeline API,io.wcm.caravan.pipeline,JsonPipelineInputException,26,0,0,0,10,0,5,0,5,0
JSON Pipeline API,io.wcm.caravan.pipeline,JsonPipelineExceptionHandlers,93,0,12,0,30,0,18,0,12,0
JSON Pipeline API,io.wcm.caravan.pipeline,JsonPipelineOutputException,9,0,0,0,4,0,2,0,2,0
JSON Pipeline API,io.wcm.caravan.pipeline,JsonPipelineActions.new JsonPipelineAction() {...},0,26,0,0,0,5,0,3,0,3
JSON Pipeline API,io.wcm.caravan.pipeline,JsonPipelineActions.new JsonPipelineAction() {...},21,0,0,0,4,0,3,0,3,0
JSON Pipeline API,io.wcm.caravan.pipeline,JsonPipelineActions,6,6,0,0,1,1,1,1,1,1
