GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.cache,MultiLayerCacheAdapter,0,206,1,11,0,34,1,13,0,8
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CollectOperator.new Subscriber() {...},0,50,0,2,0,12,0,5,0,4
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CachePointTransformer.CacheMetrics,0,86,0,0,0,7,0,1,0,1
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CachePointTransformer,7,153,1,5,1,33,1,8,0,6
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,AssertExistsOperator.new Subscriber() {...},3,83,3,11,2,21,3,9,0,5
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,ResponseHandlingOperator.new Subscriber() {...},26,142,2,4,6,27,2,5,0,4
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,PerformanceMetricsTransformer,18,105,1,1,3,26,4,10,3,10
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CachePointTransformer.CacheResponseObserver,30,252,2,20,7,49,3,15,1,6
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,ExtractOperator.new Subscriber() {...},0,59,0,4,0,13,0,6,0,4
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,ExtractOperator,0,15,0,0,0,5,0,2,0,2
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,MergeTransformer,7,146,1,15,2,35,1,12,0,5
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,PerformanceMetricsTransformer.new Observer() {...},5,40,1,1,2,8,2,3,1,3
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,HandleExceptionOperator,0,15,0,0,0,5,0,2,0,2
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CachePointTransformer.CacheResponseObserver.new Observer() {...},0,175,1,5,0,24,1,6,0,4
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CachePointTransformer.CacheResponseObserver.new Subscriber() {...},19,79,3,3,4,15,3,4,0,4
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,PerformanceMetricsTransformer.new Observable.Transformer() {...},0,19,0,0,0,4,0,3,0,3
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,PerformanceMetricsTransformer.new Observable.Transformer() {...},0,5,0,0,0,2,0,2,0,2
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,HandleExceptionOperator.new Subscriber() {...},4,64,1,3,1,19,1,5,0,4
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,PerformanceMetricsTransformer.new Observer() {...},5,33,1,1,2,8,2,3,1,3
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,AssertExistsOperator,0,23,0,0,0,7,0,2,0,2
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CachePointTransformer.CacheEnvelope,14,256,2,10,5,54,2,21,0,17
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,CollectOperator,0,15,0,0,0,5,0,2,0,2
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl.operators,ResponseHandlingOperator,0,16,0,0,0,5,0,3,0,3
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl,JsonPipelineFactoryImpl,36,106,4,0,6,21,6,9,4,9
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl,JsonPipelineOutputImpl,22,88,4,0,8,25,4,10,2,10
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl,JsonPathSelector,0,59,0,0,0,17,0,3,0,3
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl,JacksonFunctions,7,164,0,2,2,47,0,13,0,12
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl,JsonPipelineMetadata,11,23,0,0,4,10,1,5,1,5
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl,JsonPipelineImpl,17,478,3,11,2,87,3,30,1,25
JSON Pipeline Implementation,io.wcm.caravan.pipeline.impl,JsonPipelineContextImpl,3,24,0,0,1,9,1,4,1,4
