GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.server,VndErrorResponseRenderer,0,5,0,0,0,1,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.server,AsyncHalResponseRenderer,0,36,0,0,0,6,0,2,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.renderer,VndErrorResponseRendererImpl,0,323,0,14,0,65,0,17,0,10
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.renderer,CompositeExceptionStatusAndLoggingStrategy,0,77,0,4,0,17,0,10,0,8
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.renderer,RelatedResourcesRendererImpl,0,359,0,20,0,74,0,31,0,21
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.renderer,AsyncHalResourceRendererImpl,0,219,0,6,0,43,0,13,0,10
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.renderer,AsyncHalResponseRendererImpl,0,120,0,4,0,30,0,10,0,8
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.renderer,RelatedResourcesRendererImpl.RelationRenderResult,0,21,0,0,0,8,0,4,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.renderer,DefaultExceptionStatusAndLoggingStrategy,0,38,0,8,0,12,0,8,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.metadata,ResponseMetadataGenerator,4,571,1,19,1,94,1,31,0,22
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.metadata,EmissionStopwatch,0,97,0,4,0,20,0,12,0,10
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.metadata,ResponseMetadataGenerator.TimeMeasurement,0,27,0,0,0,9,0,5,0,5
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.spi,ExceptionStatusAndLoggingStrategy,0,7,0,0,0,3,0,3,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeImpl,0,106,0,2,0,22,0,10,0,9
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeImpl.new HalApiClient() {...},0,24,0,0,0,3,0,2,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeImpl.new LinkableResource() {...},0,8,0,0,0,2,0,2,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeBuilderImpl,0,105,0,6,0,23,0,10,0,7
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.client,HalApiClient,0,18,0,0,0,2,0,2,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,HalApiReflectionUtils.MethodRelationComparator,2,38,1,7,1,9,1,5,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,DefaultHalApiTypeSupport,0,236,0,38,0,54,0,46,0,27
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,HalApiTypeSupportAdapter.NoAdditionalReturnTypeSupport,0,7,0,0,0,3,0,3,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,RxJavaReflectionUtils,0,234,0,12,0,43,0,11,0,5
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,HalApiTypeSupportAdapter.NoAdditionalAnnotationSupport,0,17,0,0,0,8,0,8,0,8
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,HalApiReflectionUtils,0,315,0,20,0,57,0,22,0,12
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,CompositeHalApiTypeSupport,0,112,0,0,0,15,0,22,0,22
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,HalApiReflectionUtils.InterfaceCollector,0,39,0,2,0,11,0,4,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.reflection,HalApiTypeSupportAdapter,0,95,0,4,0,25,0,17,0,15
Rhyme - Core Framework,io.wcm.caravan.rhyme.api,RhymeBuilder,0,10,0,0,0,2,0,2,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,RelatedResourceHandler,0,362,0,20,0,70,0,32,0,22
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,CachingJsonResourceLoader,0,226,0,8,0,42,0,17,0,13
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,HalApiClientProxyFactory,0,233,0,6,0,41,0,13,0,10
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,HalApiClientImpl,0,43,0,0,0,8,0,3,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,HalApiMethodInvocation,0,307,0,16,0,52,0,26,0,18
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,HalApiInvocationHandler,0,333,0,14,0,54,0,22,0,15
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,ResourceRepresentationHandler,0,68,0,6,0,14,0,5,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,ResourceLinkHandler,0,59,0,8,0,14,0,6,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,ResourceStateHandler,0,53,0,8,0,12,0,8,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.exceptions,HalApiServerException,0,17,0,0,0,6,0,3,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.exceptions,HalApiDeveloperException,0,9,0,0,0,4,0,2,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.exceptions,HalApiClientException,0,57,0,0,0,15,0,6,0,6
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.common,RequestMetricsCollector,0,4,0,0,0,1,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.common,HalResponse,0,135,0,2,0,25,0,13,0,12
Rhyme - Core Framework,io.wcm.caravan.rhyme.util,RxJavaTransformers,0,16,0,0,0,3,0,3,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.util,RxJavaTransformers.AsyncFilterTransformer,0,31,0,0,0,11,0,4,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.util,RxJavaTransformers.CacheOnlyCompletedTransformer,0,44,0,2,0,13,0,8,0,7
