GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,HalApiClientProxyFactory,0,191,0,6,0,38,0,15,0,12
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,HalApiMethodInvocation,0,210,0,8,0,41,0,25,0,21
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,ResourceLinkHandler,0,48,0,8,0,14,0,6,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,RelatedResourceHandler,0,357,0,26,0,75,0,35,0,22
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,ResourcePropertyHandler,0,129,0,14,0,27,0,12,0,5
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,ResourceStateHandler,0,52,0,4,0,13,0,5,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,HalApiInvocationHandler,0,251,0,18,0,50,0,18,0,9
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client.proxy,ResourceRepresentationHandler,0,50,0,6,0,14,0,5,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeBuilders.RhymeBuilderImpl,0,9,0,0,0,3,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,AbstractRhymeBuilder.new RhymeMetadataConfiguration() {...},0,6,0,0,0,1,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeImpl,0,52,0,0,0,13,0,6,0,6
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeBuilders.HalResponseRenderBuilderImpl,0,8,0,0,0,3,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeBuilders.HalApiClientBuilderImpl,0,8,0,0,0,3,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,RhymeBuilders,0,19,0,0,0,4,0,4,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl,AbstractRhymeBuilder,0,266,0,22,0,68,0,28,0,17
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.util,RxJavaTransformers.CacheOnlyCompletedTransformer,0,44,0,2,0,12,0,8,0,7
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.util,RxJavaTransformers,0,13,0,0,0,3,0,3,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.util,RxJavaTransformers.AsyncFilterTransformer,0,31,0,0,0,11,0,4,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,HalApiClientImpl,0,55,0,0,0,11,0,4,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,HalResourceLoaderWrapper,0,245,0,10,0,50,0,19,0,14
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,HalResourceLoaderBuilderImpl,0,145,0,4,0,26,0,12,0,10
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,RemoteResourceOverrides,0,48,0,2,0,11,0,5,0,4
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.client,LinkRewriting,0,112,0,10,0,30,0,12,0,7
Rhyme - Core Framework,io.wcm.caravan.rhyme.impl.documentation,RhymeDocsCurieGenerator,0,120,0,4,0,34,0,11,0,9
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.common,RequestMetricsCollector,0,8,0,0,0,2,0,2,0,2
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.common,HalResponse,0,174,0,2,0,30,0,16,0,15
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.server,HalResponseRendererBuilder,0,2,0,0,0,1,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.server,VndErrorResponseRenderer,0,5,0,0,0,1,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.server,RhymeMetadataConfiguration,0,2,0,0,0,1,0,1,0,1
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.server,ResourceConversions,0,12,0,0,0,3,0,3,0,3
Rhyme - Core Framework,io.wcm.caravan.rhyme.api.server,AsyncHalResponseRenderer,0,18,0,0,0,10,0,2,0,2
